num,app,claim_checked,verdict,note
1,Salesforce,"auth=OAuth2, self_serve=self-serve",HIT,"Salesforce REST/platform APIs use OAuth 2.0 (connected apps), self-serve developer signup exists via developer.salesforce.com, and Salesforce officially supports MCP (Hosted MCP Servers, GA as of 2026, plus salesforcecli/mcp), confirming auth=OAuth2, self-serve, and mcp_exists=True."
2,HubSpot,"auth=OAuth2 (public apps) and private-app access tokens (API key-like bearer tokens), self_serve=self-serve",HIT,"HubSpot's developer platform supports OAuth2 for public apps and private-app access tokens for the general API, and HubSpot does offer a self-serve MCP server (mcp.hubspot.com, GA per docs) requiring OAuth 2.1 with PKCE, with no special gating beyond normal account admin approval — though the MCP server itself only accepts OAuth (not private-app tokens)."
4,Attio,"auth=API key (bearer access token) and OAuth2, self_serve=self-serve",HIT,"Attio's docs confirm both API key (Bearer token, scoped to a workspace) and OAuth2 authentication are supported, self-serve via workspace developer settings, and Attio offers an official MCP server (hosted OAuth-based and self-hosted)."
3,Pipedrive,"auth=API key (token) and OAuth2, self_serve=self-serve",HIT,"Pipedrive's developer docs confirm both API token (x-api-token) and OAuth2 authentication, developer signup is self-serve, and Pipedrive officially launched a native MCP server on June 30, 2026 for Claude/ChatGPT integration."
5,Twenty,"auth=API key (Bearer token); OAuth2 also supported for some integrations, self_serve=self-serve",HIT,"Twenty's docs confirm Bearer-token API key auth (Settings → API & Webhooks → Create key) plus a separate OAuth2 flow for external apps, it's self-serve with no gating, and MCP support exists (community/third-party MCP servers like jezweb/twenty-mcp and others integrate with Twenty's API)."
6,Podio,"auth=OAuth2 (with API key/Client ID + Client Secret registration), self_serve=self-serve",HIT,"Podio's developer docs confirm OAuth2 authentication requiring Client ID + Client Secret obtained via self-serve registration at podio.com/settings/api, and there is no mention of an official Podio MCP server."
7,Zoho CRM,"auth=OAuth2, self_serve=self-serve",HIT,"Zoho CRM API uses OAuth2 with self-serve signup via the Zoho API Console (developer.zoho.com/crm/developer/docs/api/v2/), and Zoho officially offers pre-built MCP servers for CRM (zoho.com/crm/developer/docs/mcp/overview.html), confirming all claim fields with no gating restriction found."
8,Close,"auth=API key (HTTP Basic Auth, key as username/blank password); OAuth2 also supported for published integrations, self_serve=self-serve",PARTIAL,"Auth details are correct (API key via HTTP Basic with key as username/blank password, OAuth2 for published integrations) per developer.close.com, but mcp_exists=False is wrong—Close actually offers an MCP server for AI agents like Claude/ChatGPT/Cursor."
10,DealCloud,"auth=OAuth2 (client credentials flow using client_id + API key to obtain a bearer token), self_serve=gated",HIT,"DealCloud's official docs confirm OAuth2 client-credentials flow using client_id + apiKey to get a bearer token via {baseUrl}/api/rest/v1/oauth/token, and API keys/credentials must be generated from a live tenant's user Profile (or via an admin/Platform Manager role) rather than any public developer signup, consistent with the gated self-serve claim; no evidence of an MCP server was found."
9,Copper,"auth=API key (token + user email header) and OAuth2 (Authorization Code Grant, non-expiring tokens), self_serve=self-serve",PARTIAL,"Copper's docs confirm API-key auth (token + user email header) and OAuth2 Authorization Code Grant with non-expiring access tokens, and keys are self-serve generated in-app, but no official Copper-built MCP server exists—only third-party/community MCP integrations (Apideck, MCPBundles, etc.)."
11,Zendesk,"auth=OAuth2 (primary/recommended) and API token with Basic auth (legacy, deprecated Apr 2027), self_serve=self-serve",PARTIAL,"OAuth2 is indeed primary/recommended and API tokens are being phased out with final deactivation April 30, 2027, but Basic (email/password) authentication was actually already deprecated/disabled starting January 12, 2026 (not April 2027 as the claim implies by lumping it with API tokens), and there is no official Zendesk-built MCP server—only third-party/community options and a forthcoming Zendesk AI MCP *client* (which consumes external servers rather than exposing Zendesk itself)."
12,Intercom,"auth=OAuth2 (and API key/access tokens for private apps), self_serve=self-serve",HIT,"Intercom confirms OAuth2 for public apps and access tokens (Bearer) for private apps, self-serve developer signup via Developer Hub, and an official MCP server (mcp.intercom.com) supporting both OAuth and bearer-token auth."
13,Freshdesk,"auth=API key (HTTP Basic Auth, key as username, any string as password), self_serve=self-serve",HIT,"Freshdesk API uses HTTP Basic Auth with API key as username and any string (e.g. 'X') as password, confirmed by developer.freshdesk.com/api/v1/, and an MCP server exists (official Freshworks EAP plus third-party implementations like effytech/freshdesk_mcp)."
14,Front,"auth=OAuth2 and API key (API tokens), self_serve=self-serve",PARTIAL,"Front's MCP server (dev.frontapp.com/docs/mcp-server) supports OAuth2 only (confidential client with ID/secret) and is self-serve/open beta as claimed, but the cited MCP page does not support API key/token auth for the MCP server itself—API tokens are a separate Core API auth method, not an MCP auth option."
15,Pylon,"auth=API key (Bearer token), self_serve=self-serve",HIT,"Pylon docs confirm Bearer token API key auth generated self-serve via dashboard, and Pylon has an official MCP server (mcp.usepylon.com) enabled self-serve via Settings → AI Controls, no sales gating found."
