num,app,category,description,auth,self_serve,gated_reason,api_surface,mcp_exists,buildability_verdict,blocker,evidence_url,confidence
1,Salesforce,CRM and Sales,"Cloud-based CRM platform for managing sales, service, marketing, and customer data",OAuth2,self-serve,,"extensive, full platform - REST, SOAP, GraphQL, Bulk, Streaming, and Metadata APIs covering nearly all CRM objects and platform features",True,yes,,https://developer.salesforce.com/docs/apis,high
2,HubSpot,CRM and Sales,"Cloud-based CRM and marketing/sales/service platform for managing contacts, deals, marketing, and customer support",OAuth2 (public apps) and private-app access tokens (API key-like bearer tokens),self-serve,,"extensive, full platform - REST APIs (v3) covering CRM objects, marketing, sales, service, CMS, workflows, webhooks, plus GraphQL for CRM data",True,yes,,https://developers.hubspot.com/ai-tools/mcp,high
3,Pipedrive,CRM and Sales,"Sales-focused CRM platform for managing pipelines, deals, contacts, and sales activities",API key (token) and OAuth2,self-serve,,"extensive, full platform - REST API v1 and v2 covering deals, persons, organizations, activities, products, leads, pipelines, webhooks, etc.",True,yes,,https://developers.pipedrive.com/docs/api/v1,high
4,Attio,CRM and Sales,"Attio is a flexible, data-model-driven CRM platform for managing companies, people, deals, and sales workflows.",API key (bearer access token) and OAuth2,self-serve,,"extensive, full platform REST API covering objects/records, lists, notes, tasks, comments, webhooks, and workspace members; docs at developers.attio.com",True,yes,,https://docs.attio.com/rest-api/tutorials/connect-an-app-through-oauth,high
5,Twenty,CRM and Sales,"Open-source CRM platform for managing contacts, companies, deals/opportunities, and custom objects.",API key (Bearer token); OAuth2 also supported for some integrations,self-serve,,"Extensive, documented REST and GraphQL API covering full CRUD on people, companies, opportunities, tasks, notes, and custom objects, plus webhooks; broad enough to cover most core CRM data operations",True,yes,,https://docs.twenty.com/developers/api-and-webhooks/api,high
6,Podio,CRM and Sales,"Customizable work-management and CRM platform where teams build apps/workflows to track projects, contacts, and deals",OAuth2 (with API key/Client ID + Client Secret registration),self-serve,,"extensive, full platform - REST API covering apps, items, tasks, spaces, contacts, files, comments, hooks, and more (100+ endpoints)",False,yes,,https://developers.podio.com/authentication,high
7,Zoho CRM,CRM and Sales,"Cloud-based CRM software for managing sales pipelines, leads, contacts, and customer engagement across channels.",OAuth2,self-serve,,"extensive, full platform - documented REST API (v2/v6) covering modules, records, notes, workflows, functions, bulk read/write, and metadata across the whole CRM object model",True,yes,,https://www.zoho.com/crm/developer/docs/api/v2/,medium
8,Close,CRM and Sales,"Close is an inside-sales CRM combining pipeline management with built-in calling, email, and SMS communication tools.","API key (HTTP Basic Auth, key as username/blank password); OAuth2 also supported for published integrations",self-serve,,"extensive, full-platform REST API (leads, contacts, opportunities, tasks, calls, SMS, emails, custom fields, search, webhooks, reporting) with interactive docs/explorer at developer.close.com",False,yes,,https://developer.close.com/,high
9,Copper,CRM and Sales,"Copper is a CRM built for Google Workspace that helps sales teams manage contacts, companies, leads, opportunities, and pipelines.","API key (token + user email header) and OAuth2 (Authorization Code Grant, non-expiring tokens)",self-serve,,"extensive - documented REST API (developer.copper.com) covering people, companies, leads, opportunities, projects, tasks, activities, custom fields, and webhooks; multiple third-party MCP servers already exist (e.g. 39-tool and 32-operation implementations)",True,yes,,https://developer.copper.com/introduction/authentication.html,high
10,DealCloud,CRM and Sales,"DealCloud is a deal, relationship, and pipeline management CRM platform built for private equity, investment banking, and other capital markets firms.",OAuth2 (client credentials flow using client_id + API key to obtain a bearer token),gated,"API keys/credentials can only be generated by an existing DealCloud customer admin from within a live tenant (via user Profile settings), so access requires a paid DealCloud subscription rather than free/trial developer signup","documented REST API covering data (objects/entries), schema, lists, users, files, and reporting endpoints plus Python/C# SDKs — moderately broad, full platform CRUD but tenant-scoped rather than a large public multi-tenant API",False,partial,requires an existing paid DealCloud tenant with admin-enabled API key/OAuth credentials; no public free-tier or sandbox for outside developers,https://api.docs.dealcloud.com/docs/token,medium
11,Zendesk,Support and Helpdesk,"Cloud-based customer service and support ticketing platform with helpdesk, live chat, and knowledge base tools","OAuth2 (primary/recommended) and API token with Basic auth (legacy, deprecated Apr 2027)",self-serve,,"extensive, full platform - REST APIs covering Tickets, Users, Organizations, Help Center, Chat, Talk, Search, Webhooks, etc. (hundreds of endpoints)",True,yes,,https://developer.zendesk.com/api-reference/introduction/security-and-auth/,high
12,Intercom,Support and Helpdesk,"Customer messaging platform providing live chat, helpdesk, and AI-powered support (Fin) for businesses to communicate with customers",OAuth2 (and API key/access tokens for private apps),self-serve,,"extensive, full platform - documented REST API (api.intercom.io) covering contacts, conversations, tickets, articles, admins, companies, data attributes, plus webhooks and a Canvas Kit for building apps; no official GraphQL API",True,yes,,https://developers.intercom.com/docs/references/rest-api/api.intercom.io/,high
